Q001,Q002,Q006,Q025,Q027,NU_NOTA_MT
B,B,C,A,A,459.2
D,C,E,B,A,514.3
D,C,C,B,A,560.2
E,F,D,B,A,416.2
E,F,F,B,A,612.3
E,E,C,B,A,572
C,D,C,B,A,389.4
F,D,C,B,A,481.9
B,B,B,A,A,491.2
B,D,C,B,A,532.8
B,B,G,B,A,611
E,E,B,B,A,517.1
E,E,H,A,A,676.6
E,F,J,B,D,762.8
E,E,C,B,A,573.8
B,E,E,B,B,502.3
D,C,C,B,A,632.8
E,E,C,B,E,660.4
F,D,F,B,A,462.9
B,D,E,B,A,552.9
B,E,C,B,A,524.2
D,D,H,B,B,724.9
A,E,B,B,A,496.2
F,G,G,B,B,495.1
F,G,C,B,D,724.4
D,C,C,B,A,480.8
B,B,E,B,A,489.9
C,F,G,B,A,625.9
B,E,C,B,A,564
E,E,C,B,A,524.3
B,C,C,B,A,650.1
E,E,B,B,A,527.1
E,D,C,B,A,532.9
D,D,E,B,A,800.7
E,D,G,B,A,449.9
F,G,J,B,D,758.9
E,E,E,B,A,603
C,C,B,B,A,426.7
E,E,E,B,A,451.2
C,F,G,B,B,475.4
C,C,C,B,A,616.6
E,E,C,B,A,487.9
E,F,J,B,D,470.6
D,E,C,B,A,397.9
E,C,B,B,A,543.4
B,D,E,B,A,490.7
B,B,E,B,A,513.4
E,E,B,B,B,527.9
G,F,J,B,D,575.4
F,F,P,B,A,491.2
E,F,D,B,A,467.4
D,D,C,B,A,482.2
E,E,G,B,E,672.7
D,E,C,B,C,624.7
D,E,D,B,A,626.4
C,G,I,B,D,690.6
E,F,O,B,D,696.2
E,E,C,B,A,590.6
B,E,C,B,A,468.5
F,E,G,B,A,736.9
D,E,E,A,A,505.4
E,E,E,A,B,572.9
D,E,E,B,A,607.9
D,G,G,A,A,434
E,E,C,A,B,517.3
B,E,G,B,A,424.7
E,C,C,B,A,447.8
E,E,B,B,A,458.8
F,F,F,B,D,731.5
E,F,D,A,A,623.2
G,F,Q,B,D,632.3
E,C,D,B,A,476.8
D,D,C,B,A,500
D,D,C,B,A,400.3
E,E,B,A,A,589.4
E,E,G,B,A,500.1
B,C,G,B,A,447.8
B,C,B,B,A,470.1
E,E,E,B,A,427.7
B,F,C,B,B,457.8
E,F,K,B,A,660.6
F,F,N,B,E,626
F,F,M,B,D,620.1
G,G,G,B,D,701.8
D,C,C,B,A,607.7
C,D,C,B,A,636.9
C,F,G,B,A,571.4
E,E,G,B,A,669.7
E,E,F,B,A,451.4
B,B,C,B,A,653.8
D,C,E,B,A,535
E,E,C,B,A,475
C,E,H,B,C,721.8
B,C,C,B,A,527.3
C,C,D,B,E,517.8
F,F,H,B,D,497
E,F,H,B,A,525.5
E,E,D,B,A,637.4
E,G,H,B,B,618
F,E,C,B,A,577.1
E,E,C,B,D,454.4
F,B,E,B,A,742
D,G,E,B,A,472.1
E,E,E,B,A,462.3
E,E,D,B,A,713.7
F,F,E,B,A,712.7
E,E,C,B,A,639.2
D,D,G,B,D,602.8
C,C,E,B,A,683.1
E,C,I,B,A,417.5
E,E,C,A,A,584.5
C,D,E,A,A,544.5
D,B,C,B,A,536.5
E,E,J,B,D,424.5
C,D,E,B,A,453.9
C,B,C,B,A,495.3
B,D,C,B,A,528.2
D,E,D,A,A,456.5
F,E,P,B,D,670.6
E,C,G,B,A,595.7
E,F,L,B,A,705.9
B,E,C,A,A,577.1
E,E,C,B,A,606.5
E,E,C,B,B,633.4
G,E,C,B,D,614.5
F,F,P,B,D,741
G,G,Q,B,D,670.7
E,E,H,B,A,712
D,D,B,A,A,645.8
B,E,B,B,A,499.2
D,E,G,B,A,640.7
E,F,F,B,A,705.2
F,G,I,B,D,740.9
E,G,C,A,E,620.3
B,B,C,B,A,579.6
B,B,E,B,A,444
D,B,E,B,A,536
F,F,C,B,D,731.2
E,F,O,B,D,731.8
D,C,D,B,A,457.2
C,E,C,B,A,470
E,F,I,B,A,674.6
E,F,E,B,D,815.9
E,E,E,B,C,716
E,E,H,B,A,751.4
B,D,C,B,B,453.9
C,E,I,B,A,665.6
E,F,E,B,D,625.5
G,F,Q,B,D,680.5
B,E,G,B,A,528.8
B,C,D,B,A,615.9
C,E,D,B,A,578.8
F,F,H,B,A,621.1
E,E,E,B,A,460.3
D,C,D,B,A,628.3
A,D,C,B,A,481.8
B,E,C,B,A,431.1
E,E,I,B,E,705.1
F,E,H,B,A,458.7
E,C,H,B,E,611
C,E,C,B,A,441.5
G,G,J,B,E,715.6
D,D,B,B,A,468.8
F,E,I,B,D,709.5
G,E,Q,B,A,477.2
B,B,C,A,A,552.7
G,F,Q,B,D,685.2
C,E,C,B,A,485.1
C,D,D,B,A,564.5
D,C,C,B,A,472
E,E,B,A,A,485.6
C,D,E,B,A,633.1
E,E,J,B,A,552.6
D,E,C,B,A,577.2
E,F,H,B,A,675.9
F,E,F,B,B,502.5
D,E,E,B,D,681.4
F,G,M,B,D,673
F,F,E,B,B,435.3
B,C,C,B,A,443.5
G,G,O,B,D,722.8
D,E,C,B,A,444.4
B,C,F,B,A,724.8
B,D,I,B,A,732.2
E,D,C,B,A,513.4
D,B,C,B,A,538.6
B,B,C,B,A,547.9
F,F,M,B,D,566.4
E,E,C,B,E,668.3
C,B,C,B,A,643.7
D,E,F,B,A,458
F,E,E,B,A,466.1
G,E,J,B,E,767.8
E,F,P,B,E,680.6
B,B,B,A,A,706.1
E,E,F,B,A,509.2
E,B,C,B,A,494.1
F,F,K,B,A,840.9
C,D,D,B,A,471.8
C,C,E,B,A,507.4
C,D,C,B,A,500
B,E,G,B,A,497.8
G,G,P,B,B,827
E,G,B,B,B,666.2
E,E,K,B,A,533.1
E,D,B,B,A,487.2
C,B,B,B,A,510.7
C,D,B,B,A,439.1
C,D,D,B,A,539.7
F,F,N,B,D,677.9
F,E,B,B,A,490.1
B,C,C,B,A,473.8
D,D,C,A,A,440.1
C,E,C,B,A,552.7
C,D,D,B,A,774.2
F,G,L,B,D,708.2
D,D,B,A,A,490
G,G,F,B,A,652.1
B,D,C,B,B,731.4
B,C,C,B,A,415.2
G,E,P,B,D,560.4
E,E,C,A,A,566
E,E,C,B,C,695.3
E,D,G,B,A,519.9
C,C,G,B,A,558.5
E,B,B,B,A,532.1
C,E,D,A,E,675.8
E,F,E,B,D,647.4
E,B,C,B,A,440.7
G,E,M,B,D,589.3
C,C,B,B,A,432.8
E,E,C,B,A,586.5
C,C,B,B,A,781
D,E,G,B,B,446.3
E,D,C,B,E,659.9
F,F,I,B,A,616.1
B,B,D,B,A,719.7
E,E,E,B,A,641
F,F,M,B,D,526.8
E,E,D,A,B,466.2
E,F,F,B,A,619.5
E,F,I,B,D,655.3
F,G,Q,B,D,743.4
E,E,K,B,B,552.5
E,D,C,B,A,537.7
E,E,G,B,A,612.5
E,E,H,B,A,389.6
B,E,D,B,A,577
E,E,E,B,A,669.2
F,F,M,B,D,636
E,E,E,B,A,613.8
C,G,I,B,D,872.3
D,F,I,B,A,593
B,E,F,B,A,441
G,F,Q,B,D,661.4
B,E,B,B,A,470
D,D,E,B,A,561
E,E,E,B,E,669.9
F,F,F,B,A,493.2
F,E,G,B,D,616.1
F,E,J,B,D,700.5
B,E,E,B,A,504.3
E,E,H,B,A,684.6
C,E,B,B,A,452.2
E,E,D,B,A,500.7
D,D,D,B,A,560
E,E,B,A,A,530.2
E,E,E,B,B,694.4
E,C,B,B,A,511.9
D,C,C,B,A,377
E,F,D,B,D,820
C,E,C,B,A,520.3
E,E,H,B,D,487.2
G,G,P,B,D,812.3
G,G,G,B,A,526.3
B,B,C,B,A,472.8
B,E,D,B,A,645.1
D,D,B,B,A,553.3
F,G,Q,B,D,702.7
B,E,D,B,A,541.7
D,E,D,B,A,463.5
F,G,G,B,C,577.9
G,G,P,B,D,539.2
E,E,D,B,A,529.1
E,E,F,B,A,549.3
B,B,E,B,A,555.5
G,F,E,B,A,573.8
E,E,F,B,A,489.5
C,C,E,B,C,662.1
C,F,H,B,D,642.4
D,F,F,B,B,629.4
D,D,D,B,A,550.9
F,F,G,B,C,755.5
E,F,I,B,A,642.8
E,E,G,B,A,563.1
A,E,G,B,A,401.6
D,D,C,B,A,604.1
F,G,Q,B,D,499.7
D,E,C,B,A,543.2
D,E,C,B,A,503.8
C,E,I,B,A,389.5
C,D,C,B,A,496.1
E,E,B,A,A,505
E,E,D,B,C,484
F,F,O,B,A,437.2
G,F,Q,B,D,799.7
C,E,I,B,D,625.2
C,C,G,B,A,628.8
F,E,K,B,A,515.3
E,B,E,B,A,432.3
F,G,I,B,A,784.5
B,E,C,B,A,416.9
G,F,P,B,A,560.3
D,F,G,B,D,588.9
A,C,C,B,A,515.4
G,G,H,B,D,650.6
F,F,P,B,D,735.2
E,E,G,B,A,473.1
C,E,E,B,A,541.3
C,E,H,B,C,628.4
F,F,I,B,A,735
E,B,B,A,A,578.3
F,G,I,B,A,789
E,E,F,A,A,488
E,E,D,B,A,488.7
E,E,C,B,A,477.4
C,D,D,A,A,464.4
B,C,D,B,A,529.6
E,E,C,A,A,687.6
A,A,C,B,A,565.3
E,D,H,B,C,536.8
G,F,I,B,D,611.2
B,E,F,B,A,556.9
E,E,N,B,A,736.9
B,C,C,B,A,639
E,B,D,B,C,563.7
E,D,C,B,A,519.7
G,G,E,B,B,450
E,E,B,B,A,402.4
E,D,D,B,D,696.3
B,E,C,B,A,650.9
E,E,G,B,A,464
E,E,C,A,A,440.6
F,F,C,B,A,632.4
D,C,B,B,A,448.6
F,E,J,B,D,782.8
E,B,D,B,A,664
E,G,G,B,A,529.6
F,D,I,B,D,528.7
F,E,C,B,A,411.5
E,E,C,B,A,623.8
E,E,G,B,A,694.6
E,F,B,B,A,700
E,F,G,B,D,724.4
B,E,D,B,A,724.1
E,D,B,B,A,487.9
E,E,C,B,A,449.9
E,E,E,B,A,720
B,E,D,B,A,617.2
D,E,N,B,D,694.1
E,D,F,B,B,587.4
E,E,H,B,A,676.5
B,D,M,B,B,647.8
A,D,B,B,A,578
B,E,C,B,A,559.9
B,C,C,B,A,497.1
E,C,B,B,A,569.1
E,B,H,B,A,662.3
E,E,C,B,A,575
E,F,D,B,D,577.3
F,E,O,B,D,639.9
E,F,E,B,A,501.1
F,D,F,B,D,557.8
E,D,G,B,D,527.9
E,D,B,B,A,639.3
C,D,D,A,A,553.9
E,E,G,B,A,608.4
E,E,C,B,B,599.5
B,B,B,B,A,387.4
E,E,C,B,A,454.4
B,B,C,B,A,513.4
E,E,C,B,B,497.7
D,F,E,B,D,659.8
C,D,C,A,A,394.5
E,C,D,B,A,601.8
E,F,J,B,D,565.4
E,E,E,B,A,447
E,E,B,B,A,616.7
E,E,F,B,A,672
E,E,K,B,A,723.6
D,E,C,B,A,554.3
E,E,F,B,A,585.1
E,E,B,B,A,722.5
B,C,C,B,E,630.9
G,F,Q,B,D,702.2
G,F,H,B,D,733.1
C,D,C,B,A,438.3
D,F,I,B,D,683
D,D,C,A,A,413.3
G,E,H,B,A,691.8
B,B,B,B,A,536.4
D,E,B,B,A,575.5
F,F,D,B,E,694.1
E,B,B,A,A,546
C,E,B,B,A,450.3
F,E,G,B,A,496.3
E,E,G,B,A,567.1
F,F,O,B,B,576.8
F,F,D,B,A,515.4
E,E,C,B,B,672.4
E,E,C,B,B,575.1
E,G,I,B,D,552.4
E,F,E,B,D,633.5
F,F,J,B,D,689.5
D,C,H,A,A,489.8
C,F,E,B,A,624
E,D,K,B,A,649.8
E,C,H,B,A,442.5
D,B,F,B,E,670.6
B,G,J,B,A,644.4
C,E,C,B,C,678.2
E,E,K,B,A,583.6
B,E,C,B,A,508.8
E,D,B,A,A,456.4
E,E,G,B,A,443.9
E,B,B,B,A,441.6
E,F,L,B,D,546.5
A,B,C,B,A,509.5
A,E,B,B,A,467.8
G,F,O,B,D,458.5
E,E,G,B,B,480.3
E,E,F,B,A,549.8
D,E,D,B,B,526.8
B,C,F,B,A,457
E,E,D,B,A,725.2
B,B,C,B,A,450.3
E,E,F,B,A,428.9
F,F,J,B,D,648.1
C,E,C,B,A,449.6
D,E,C,B,A,519.5
B,C,C,B,A,488.9
F,G,D,B,A,666.6
E,E,E,B,A,508.9
A,B,E,B,A,485.6
F,E,G,B,B,613.4
E,D,E,B,A,509.9
E,F,G,B,A,682.2
E,F,I,B,C,617
C,B,B,A,A,593.1
E,E,D,B,A,381.7
C,F,G,B,A,569.2
E,E,G,B,A,617.4
C,E,C,A,A,476.2
D,E,C,B,A,451.3
B,E,B,A,A,379.8
B,E,C,B,A,622.3
D,E,D,B,A,710.7
E,E,C,A,A,403.7
E,G,E,B,A,506.8
E,E,B,B,A,489.2
F,F,N,B,D,792.1
F,E,B,B,A,579.1
C,E,C,B,A,469.7
E,E,C,B,B,469
B,C,B,B,A,616.2
D,D,C,B,B,430.9
D,B,C,B,A,485.5
E,F,I,B,A,835.1
C,E,C,B,A,559.5
B,C,B,B,A,652
F,G,K,B,D,647.5
B,B,C,B,A,599.1
B,E,E,A,B,480.1
B,E,E,B,A,518.7
E,F,O,B,A,489
E,G,L,B,D,638.6
D,E,C,A,A,394.6
B,C,D,B,A,404.2
E,E,D,B,A,580
B,B,D,B,A,540.2
A,A,D,B,A,457.9
B,E,D,B,A,737.7
E,E,C,B,A,608
C,D,B,B,A,607.1
E,D,B,B,A,565.1
E,D,G,B,A,471.1
B,B,E,B,D,461.8
F,E,C,B,A,417.6
B,B,C,B,A,494.3
C,B,G,B,A,488.7
E,G,O,B,E,748.3
C,D,D,B,A,474
C,D,E,B,A,461.9
E,E,B,B,A,508.4
E,E,D,B,B,574.7
E,G,G,B,A,668.3
D,E,C,B,C,693.3
D,E,B,B,B,740.1
E,E,C,B,A,507.7
D,E,I,B,A,601.1
B,A,C,B,A,546.8
B,B,B,B,A,410.1
E,E,E,B,D,699
E,E,C,A,A,513.5
E,E,E,B,A,382
D,C,G,B,A,453.5
E,E,E,B,A,491.3
G,G,M,B,D,438.4
D,D,E,B,A,465
C,E,Q,B,D,700.3
C,B,C,B,A,426.9
B,E,C,B,A,447.2
D,E,H,B,D,703.8
D,A,C,B,A,450.6
E,E,D,B,A,452.6
D,E,G,B,A,465.4
D,D,C,A,A,492
E,E,I,B,A,602.5
D,E,F,B,A,606.8
C,F,E,B,A,505.3
B,B,D,B,A,464
B,E,E,B,A,560.2
C,B,F,B,A,598.9
C,C,G,B,A,521.9
E,E,C,B,A,414.3
F,F,J,B,A,603.1
B,D,B,B,A,571.8
D,E,B,B,A,453.2
E,B,B,A,A,506.1
F,E,D,B,C,636.2
B,F,J,B,A,736.9
C,C,E,B,A,516.9
D,E,C,B,A,614.4
E,D,B,A,A,527.6
E,E,B,B,A,571.2
C,C,E,B,A,523.1
F,D,H,B,A,426
F,G,I,B,A,623.9
D,E,F,B,A,468.2
C,D,C,B,A,541.5
G,G,M,B,A,669.7
E,B,D,A,A,518.4
E,C,F,B,A,508.2
E,D,I,B,A,736.6
D,C,C,B,A,458.9
F,E,G,B,D,574.3
E,F,D,B,A,476.1
E,E,E,B,E,717.1
E,E,B,B,A,463
C,E,C,B,A,494.2
E,E,C,B,A,558.2
E,E,J,B,A,417.9
E,E,H,A,E,690.2
B,B,D,B,A,483.8
E,F,D,B,A,659.6
B,E,E,B,A,636.9
C,C,B,A,A,483.3
E,D,B,B,A,609.8
F,F,O,B,A,720
E,E,I,B,C,548.1
C,E,D,B,A,498.9
D,F,C,B,D,555.3
E,E,B,A,A,395.1
E,E,C,B,A,497.7
D,C,D,B,A,585.6
D,D,B,B,A,435.4
D,E,E,B,A,594.9
B,B,E,A,A,629.6
C,E,E,B,A,437.3
E,E,C,B,A,419.6
F,F,K,B,E,438.3
C,E,D,B,A,469.2
D,B,D,B,A,517.6
F,D,E,B,A,681.4
E,E,C,B,A,389.5
F,F,G,B,E,618.8
F,D,G,B,A,670.8
G,E,N,B,D,724.9
B,B,C,A,A,403.2
E,F,D,B,D,605
D,D,E,A,A,467.9
A,E,G,B,A,584
C,C,C,A,A,519.4
D,E,G,B,A,623.8
B,C,C,B,A,440.4
E,E,E,B,A,686.4
E,E,H,B,D,736.2
E,D,E,B,A,545.3
D,C,C,B,A,519.7
E,E,E,B,A,764.7
D,E,I,B,D,720.4
D,D,E,B,A,528.6
E,E,G,B,A,557.8
D,B,E,B,A,613.9
B,B,C,B,A,442.8
E,B,D,B,A,505.1
B,D,D,B,A,482.3
E,E,C,B,A,593.8
F,F,H,A,A,571.2
D,C,C,B,A,498.5
F,E,E,B,A,572.3
C,E,I,B,C,562.7
E,D,B,B,A,547.5
B,B,C,B,A,660.5
E,C,G,B,A,657.8
E,E,G,B,C,662.2
E,E,F,B,A,527.4
D,B,C,B,A,398.3
F,F,H,B,A,685.4
E,F,H,B,A,507.4
E,D,B,A,A,565.3
B,B,E,B,A,405.6
C,E,C,B,A,483.1
D,F,F,B,A,556.4
E,D,C,B,A,586.3
B,B,C,B,A,543
B,E,I,B,A,506.4
E,E,D,B,A,461.4
C,A,C,A,A,451.1
F,E,G,B,B,641
E,F,D,A,B,573.1
D,E,C,B,A,522.8
B,E,K,B,A,556.1
D,F,N,B,A,716.7
E,E,D,B,A,564.9
E,E,D,A,A,623.2
F,E,F,B,A,553.6
E,D,C,B,A,613.7
E,C,E,B,A,456.3
E,E,C,B,A,556.5
F,F,G,B,A,570.6
D,E,C,B,A,682.2
C,C,C,B,C,424.3
D,G,E,B,A,553.6
D,E,C,B,A,453.6
D,G,J,B,E,693.4
B,D,C,B,A,567.1
B,D,C,B,A,478.5
D,D,B,B,A,452.5
C,E,E,B,A,594.3
E,C,F,B,A,581.6
C,E,E,B,B,672.8
E,D,C,B,E,589.1
E,E,G,B,A,510.9
B,E,F,B,A,564.9
C,D,E,B,A,570.9
F,E,F,B,D,494.2
G,F,I,B,D,864
C,E,D,B,A,605.6
C,E,F,B,A,438.3
E,E,N,B,A,722
E,G,G,B,A,706.4
G,G,F,B,D,630.5
E,E,C,B,A,555.5
D,E,H,B,A,576
E,E,C,B,A,664.8
E,D,D,B,A,548.2
E,E,C,B,A,520.7
E,E,F,B,D,541.8
B,D,C,B,A,512.6
B,B,C,A,A,648.4
F,E,H,B,A,573.6
F,E,C,B,A,543.8
D,B,L,B,D,934.9
G,G,P,B,D,658.1
D,E,G,B,E,768.6
E,E,B,B,A,582.4
C,E,G,B,A,732.8
E,G,N,B,D,660.5
E,C,G,B,A,630.8
B,B,C,B,A,471.3
D,E,B,B,A,449
F,E,I,B,D,676.1
C,B,I,B,A,481.4
B,B,C,B,A,504.6
E,E,D,B,E,703.9
E,E,E,B,A,485.9
E,E,E,B,B,626.3
G,E,Q,B,D,780.2
C,E,C,B,A,483.8
B,C,C,B,A,427.4
D,C,C,B,A,459.4
E,E,H,B,A,640.8
B,D,E,B,A,554.6
E,F,M,B,A,865.8
C,E,C,A,A,522
G,E,G,B,A,523.7
C,D,F,A,A,663.4
C,B,C,B,A,496.2
D,G,G,B,A,382.1
D,E,C,B,A,383.7
B,F,D,B,A,379
A,F,E,B,A,462.1
E,E,Q,B,D,579.1
F,E,G,B,A,564.8
E,E,E,B,A,527.3
E,E,E,B,B,531.7
D,G,L,B,A,728.2
B,D,D,B,A,491.2
E,E,H,B,A,543.4
B,B,C,B,A,455.7
E,D,K,B,D,684.3
F,F,J,B,C,692.9
B,E,C,B,A,448.1
C,E,F,B,A,514.6
G,G,O,B,D,774.9
F,E,F,B,D,668.3
D,D,B,B,A,494.9
D,E,C,B,B,643.5
C,B,B,A,A,567.1
C,F,E,B,A,559.9
E,E,B,B,A,574.8
B,C,C,B,A,459.1
F,F,N,B,D,701.4
E,E,C,B,A,488.7
E,F,F,B,D,537
C,G,C,A,A,525.4
D,B,G,B,A,664.8
B,E,G,B,A,405.5
C,D,C,B,A,447.8
D,C,C,B,A,466.2
B,F,D,B,A,522.5
F,G,J,B,D,599.1
B,B,B,B,A,379
D,E,G,B,A,594.4
B,E,D,B,A,480.6
G,F,P,B,D,570.1
D,C,F,B,A,426.3
E,G,H,B,A,721.5
C,D,D,B,A,807.7
C,F,I,B,A,439.9
D,E,J,B,A,427
E,E,C,A,A,483.3
E,B,E,B,A,498.2
E,C,C,B,A,459.3
E,E,N,B,D,465.1
C,E,D,B,A,565
F,F,H,B,D,684.7
E,D,B,B,A,557.9
B,A,E,B,A,567.4
E,E,I,B,A,559.1
F,F,F,B,A,501.2
B,D,E,B,A,473.1
C,E,B,A,A,480.6
E,E,C,B,A,481.4
B,F,G,B,A,446.2
G,G,Q,B,D,830.6
D,D,G,B,A,626
F,F,G,B,A,501.1
E,E,G,B,A,378.3
C,G,H,B,E,760
E,E,F,B,A,767.1
F,E,H,B,D,689.6
C,A,D,A,A,449.5
E,E,B,B,A,617.1
D,E,E,B,A,421.6
C,E,C,B,A,544.2
F,F,H,B,D,654
D,E,E,B,A,558.6
B,B,D,B,A,595.5
F,F,H,B,A,494.7
C,E,G,B,A,757.9
D,B,F,B,D,382.6
G,G,O,B,E,693.2
E,F,D,B,A,425
E,G,H,B,D,443.6
C,F,E,A,C,599.1
D,E,H,B,A,705.4
E,E,D,B,A,618.9
E,E,C,B,A,540.6
D,E,D,B,A,455.6
E,F,E,B,A,448.4
D,E,G,B,D,454.6
F,F,I,B,D,718.1
C,E,D,B,A,428.6
E,D,J,B,D,672.8
B,E,C,B,A,415.7
D,E,E,B,A,749.3
D,F,G,B,A,461.9
F,F,C,B,C,537.4
D,D,C,B,A,399
E,E,C,B,A,489.6
B,B,E,B,A,453.6
E,B,I,B,C,395.4
G,F,C,B,E,739.9
E,D,C,B,A,425.3
D,E,J,B,B,503
B,D,C,A,A,478
G,G,Q,B,D,748.8
E,E,C,A,A,735.7
E,E,C,B,A,680.1
E,E,D,A,A,516.9
B,F,B,B,B,497.7
G,G,N,B,D,841.5
E,E,E,B,A,594.7
D,B,G,B,A,599.7
B,D,E,B,A,448.8
F,E,G,B,A,523.9
G,E,J,B,A,459.7
A,B,E,B,A,550.3
E,E,C,B,A,416.2
C,D,E,B,A,474.2
E,E,C,B,A,453.5
C,F,D,A,D,694.8
D,G,F,B,A,488.2
F,F,C,B,A,659.3
C,D,D,B,A,529.6
D,E,F,B,E,696.7
E,E,G,B,A,546.9
E,B,C,B,A,438.9
F,F,D,B,E,766.1
B,B,C,B,A,583.2
E,E,G,B,A,508.6
C,D,C,B,A,426.1
F,E,D,B,A,657.8
D,C,C,B,A,528.1
G,D,L,B,E,766
C,E,C,B,E,642.2
F,F,G,B,E,531.5
D,E,B,A,E,495.4
D,D,C,B,A,562.2
G,F,P,B,D,760.8
E,E,C,B,A,630.6
E,E,E,A,C,519.5
E,F,G,A,A,686.8
F,E,J,B,A,653.1
B,B,C,B,A,415.1
C,F,F,B,A,616.6
E,E,K,B,D,719.3
E,E,I,B,A,765.8
F,E,N,B,D,558.9
E,E,G,B,A,546
E,D,B,B,A,450.7
E,D,G,B,B,738.9
E,E,I,B,C,704
G,G,H,B,D,811.7
C,E,B,B,B,437.2
B,E,F,B,A,476.5
D,E,C,B,A,416
F,F,G,A,B,619.4
